hashtag|record_date|timestamp|total_likes|total_quotes|total_replies|total_retweets|total_tweets
ltc|2023-02-06|2023-02-0614:51:36.465000+0000|4|5|0|0|5
near|2023-02-06|2023-02-0614:50:11.222000+0000|3|4|0|0|4
qnt|2023-02-06|2023-02-0614:48:21.644000+0000|0|1|0|0|1
link|2023-02-06|2023-02-0614:50:16.684000+0000|1|8|0|0|8
mina|2023-02-06|2023-02-0614:50:06.376000+0000|4|7|0|0|7
dot|2023-02-06|2023-02-0614:48:16.297000+0000|0|1|0|0|1
usdc|2023-02-06|2023-02-0614:51:11.653000+0000|0|3|0|0|3
usdt|2023-02-06|2023-02-0614:51:30.822000+0000|18|19|0|0|19
eos|2023-02-06|2023-02-0614:48:16.297000+0000|0|1|0|0|1
matic|2023-02-06|2023-02-0614:51:16.675000+0000|11|13|0|0|13
trx|2023-02-06|2023-02-0614:51:46.719000+0000|6|7|0|0|7
bnb|2023-02-06|2023-02-0614:51:46.720000+0000|104|106|0|130|106
crv|2023-02-06|2023-02-0614:51:21.221000+0000|0|1|0|0|1
zil|2023-02-06|2023-02-0614:50:41.630000+0000|5|6|0|0|6
egld|2023-02-06|2023-02-0614:49:35.943000+0000|1|2|0|0|2
avax|2023-02-06|2023-02-0614:50:46.300000+0000|8|9|0|129|9
uni|2023-02-06|2023-02-0614:36:18.386000+0000|0|1|0|0|1
xtz|2023-02-06|2023-02-0614:50:46.307000+0000|2|3|0|0|3
ftm|2023-02-06|2023-02-0614:49:06.240000+0000|3|4|0|0|4
xrp|2023-02-06|2023-02-0614:51:46.720000+0000|81|82|0|129|82
xlm|2023-02-06|2023-02-0614:44:27.534000+0000|1|1|0|0|1
eth|2023-02-06|2023-02-0614:51:46.721000+0000|175|179|0|129|179
dai|2023-02-06|2023-02-0614:51:30.817000+0000|0|1|0|0|1
1inch|2023-02-06|2023-02-0614:50:16.687000+0000|1|2|0|0|2
fxs|2023-02-06|2023-02-0614:36:16.267000+0000|0|1|0|0|1
flow|2023-02-06|2023-02-0614:50:41.630000+0000|2|3|0|0|3
rpl|2023-02-06|2023-02-0614:44:27.528000+0000|0|1|0|0|1
apt|2023-02-06|2023-02-0614:50:41.630000+0000|5|7|0|0|7
leo|2023-02-06|2023-02-0614:51:46.720000+0000|31|33|0|0|33
ht|2023-02-06|2023-02-0614:50:21.694000+0000|0|1|0|0|1
bsv|2023-02-06|2023-02-0614:49:56.828000+0000|1|2|0|0|2
vet|2023-02-06|2023-02-0614:44:27.516000+0000|0|2|0|0|2
theta|2023-02-06|2023-02-0614:49:41.620000+0000|0|1|0|0|1
ton|2023-02-06|2023-02-0614:50:41.630000+0000|2|3|0|0|3
algo|2023-02-06|2023-02-0614:51:36.465000+0000|2|3|0|0|3
doge|2023-02-06|2023-02-0614:51:46.721000+0000|146|149|0|1|149
ada|2023-02-06|2023-02-0614:51:25.904000+0000|13|14|0|0|14
bch|2023-02-06|2023-02-0614:49:56.824000+0000|5|6|0|0|6
stx|2023-02-06|2023-02-0614:44:27.530000+0000|0|1|0|0|1
xmr|2023-02-06|2023-02-0614:49:56.828000+0000|4|5|0|0|5
imx|2023-02-06|2023-02-0614:50:51.664000+0000|6|7|0|0|7
sol|2023-02-06|2023-02-0614:49:41.619000+0000|10|11|0|0|11
btc|2023-02-06|2023-02-0614:51:46.721000+0000|153|156|0|129|156
ens|2023-02-06|2023-02-0614:51:30.823000+0000|14|15|0|0|15
hbar|2023-02-06|2023-02-0614:49:01.319000+0000|0|1|0|0|1
cake|2023-02-06|2023-02-0614:50:46.310000+0000|1|2|0|1|2
etc|2023-02-06|2023-02-0614:50:41.630000+0000|6|7|0|0|7
dash|2023-02-06|2023-02-0614:51:30.823000+0000|0|1|0|0|1
busd|2023-02-06|2023-02-0614:51:30.817000+0000|3|4|0|0|4
shib|2023-02-06|2023-02-0614:51:46.720000+0000|137|140|0|0|140
xrd|2023-02-06|2023-02-0614:44:27.520000+0000|0|3|0|0|3
mana|2023-02-06|2023-02-0614:48:11.697000+0000|0|1|0|0|1
lunc|2023-02-06|2023-02-0614:50:16.683000+0000|7|16|0|0|16
twt|2023-02-06|2023-02-0614:51:46.721000+0000|1|2|0|0|2
ape|2023-02-06|2023-02-0614:51:46.720000+0000|10|11|0|0|11
ar|2023-02-06|2023-02-0614:51:11.650000+0000|5|6|0|0|6
ldo|2023-02-06|2023-02-0614:51:46.717000+0000|1|2|0|0|2
usdd|2023-02-06|2023-02-0614:51:11.649000+0000|0|1|0|0|1
icp|2023-02-06|2023-02-0614:48:45.873000+0000|0|1|0|0|1
sand|2023-02-06|2023-02-0614:50:41.630000+0000|3|4|0|0|4
cro|2023-02-06|2023-02-0614:51:16.679000+0000|17|18|0|0|18
