coin_id,ticker,name,market_cap_rank
aave,aave,Aave,47
1inch,1inch,1inch,97
0x,zrx,0x,173
0chain,zcn,Zus,877
1world,1wo,1World,1375
1art,1art,OneArt,1595
88mph,mph,88mph,1639
aag-ventures,aag,AAG,1739
8pay,8pay,8Pay,1758
3air,3air,3air,1859
1-up,1-up,1-UP,1873
42-coin,42,42-coin,1914
3xcalibur,xcal,3xcalibur Ecosystem Token,1944
1337,1337,Elite,2361
0xmonero,0xmr,0xMonero,2488
2key,2key,2key.network,2806
50cent,50c,50Cent,3588
0xcert,zxc,0xcert,3697
2acoin,arms,2ACoin,3742
2local-2,2lc,2local,3813
4new,kwatt,4New,3821
1million-token,1mt,1Million,3932
acala,aca,Acala,265
aavegotchi,ghst,Aavegotchi,420
ac-milan-fan-token,acm,AC Milan Fan Token,794
across-protocol,acx,Across Protocol,1020
acet-token,act,Acet,1740
achain,act,Achain,1774
abcc-token,at,ABCC,1775
acryptos,acs,ACryptoS,1980
acent,ace,Acent,2029
accel-defi,accel,Accel Defi,2484
acryptosi,acsi,ACryptoSI,2508
acestarter,astar,AceStarter,2575
aavegotchi-kek,kek,Aavegotchi KEK,2730
aavegotchi-fomo,fomo,Aavegotchi FOMO,2754
acoconut,ac,ACoconut,2827
aavegotchi-alpha,alpha,Aavegotchi ALPHA,2967
abitshadow-token,abst,Abitshadow,3027
aavegotchi-fud,fud,Aavegotchi FUD,3057
aca-token,aca,ACA,3489
actifit,afit,Actifit,3696
ac-exchange-token,acxt,ACDX Exchange,3702
agoric,bld,Agoric,192
aelf,elf,aelf,251
adshares,ads,Adshares,387
aergo,aergo,Aergo,418
ageur,ageur,agEUR,492
aeternity,ae,Aeternity,499
adventure-gold,agld,Adventure Gold,601
adex,adx,Ambire AdEx,674
advertise-coin,adco,Advertise Coin,684
affyn,fyn,Affyn,852
adappter-token,adp,Adappter,891
adora-token,ara,Adora,1334
adapad,adapad,ADAPad,1335
adax,adax,ADAX,1885
agave-token,agve,Agave,2002
aezora,azr,Azzure,2211
afreum,afr,Afreum,2333
adbank,adb,adbank,2408
aerarium-fi,aera,Aerarium Fi,2525
aga-token,aga,AGA,2637
adaboy,adaboy,ADABoy,2781
aga-rewards-2,agar,AGA Rewards,2854
adamant-messenger,adm,ADAMANT Messenger,2927
add-xyz-new,add,Add.xyz (NEW),3054
adamant-coin,admc,Adamant Coin,3113
adtoken,adt,adChain,3128
aetherv2,ath,AetherV2,3207
afin-coin,afin,Asian Fintech,3226
aditus,adi,Aditus,3404
afen-blockchain,afen,AFEN Blockchain,3405
agrello,dlt,Agrello,3488
agora-defi,agora,Agora Defi,3638
aegis,ags,Aegis,3686
adventure-token,twa,Adventure,3888
aerotoken,aet,AEROTOKEN,3919
algorand,algo,Algorand,33
aleph-zero,azero,Aleph Zero,148
alchemix-usd,alusd,Alchemix USD,154
alien-worlds,tlm,Alien Worlds,402
akash-network,akt,Akash Network,412
alchemy-pay,ach,Alchemy Pay,415
a-hunters-dream,caw,A Hunters Dream,547
alchemix,alcx,Alchemix,561
aioz-network,aioz,AIOZ Network,598
airswap,ast,AirSwap,701
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,706
aion,aion,Aion,720
aleph,aleph,Aleph.im,778
alkimi,$ads,Alkimi,816
aladdin-dao,ald,Aladdin DAO,1206
all-art,aart,ALL.ART,1255
aidos-kuneen,adk,Aidos Kuneen,1426
alchemist,mist,Alchemist,1413
airbloc-protocol,abl,Airbloc,1449
alephium,alph,Alephium,1531
aimedis-2,aimx,Aimedis,1548
aldrin,rin,Aldrin,1626
allbridge,abr,Allbridge,1760
aichain,ait,AICHAIN,1950
aircoin-2,air,AirCoin,2024
alfa-romeo-racing-orlen-fan-token,sauber,Alfa Romeo Racing ORLEN Fan Token,2295
alanyaspor-fan-token,ala,Alanyaspor Fan Token,2421
akropolis,akro,Akropolis,2467
algoblocks,algoblk,AlgoBlocks,2570
aidcoin,aid,AidCoin,2734
airight,airi,aiRight,2748
algovest,avs,AlgoVest,2945
aircoins,airx,Aircoins,3025
alex,alex,Alex,3148
akropolis-delphi,adel,Delphi,3352
ai-doctor,aidoc,AI Doctor,3548
ailink-token,ali,AiLink,3596
alicoin,alicn,Alicoin,3880
alpha-finance,alpha,Alpha Venture DAO,310
ampleforth,ampl,Ampleforth,353
alpaca-finance,alpaca,Alpaca Finance,423
ampleforth-governance-token,forth,Ampleforth Governance,521
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,552
allianceblock,albt,AllianceBlock,614
alpha-quark-token,aqt,Alpha Quark,638
amber,amb,AirDAO,696
amo,amo,AMO Coin,740
altair,air,Altair,1071
altura,alu,Altura,1086
amdg-token,amdg,AMDG,1130
ambire-wallet,wallet,Ambire Wallet,1438
amepay,ame,AME Chain,1628
amplifi,amplifi,AmpliFi,1661
alyattes,alya,Alyattes,1803
ally-direct,drct,Ally Direct,2125
alliance-fan-token,all,Alliance Fan Token,2509
alnassr-fc-fan-token,nassr,Alnassr FC Fan Token,2679
alphatoken,.alpha,.Alpha,2723
alpaca,alpa,Alpaca City,2804
alpha-coin,apc,Alpha Coin,2862
amoveo,veo,Amoveo,3047
ampleswap,ample,AmpleSwap,3160
alt-estate,alt,AltEstate,3217
aluna,aln,Aluna,3221
amon,amn,Amon,3432
allsafe,asafe,AllSafe,3461
alphadex,dex,AlphaDex,3582
alphr,alphr,Alphr,3643
