coin_id,ticker,name,market_cap_rank
aave,aave,Aave,47
1inch,1inch,1inch,96
algorand,algo,Algorand,33
apecoin,ape,ApeCoin,32
aptos,apt,Aptos,70
arweave,ar,Arweave,92
avalanche-2,avax,Avalanche,20
axie-infinity,axs,Axie Infinity,48
binancecoin,bnb,BNB,5
bitcoin,btc,Bitcoin,1
binance-usd,busd,Binance USD,7
bitcoin-cash,bch,Bitcoin Cash,28
bitcoin-cash-sv,bsv,Bitcoin SV,45
bittorrent,btt,BitTorrent,57
bitdao,bit,BitDAO,78
blockstack,stx,Stacks,99
btse-token,btse,BTSE Token,87
cardano,ada,Cardano,9
cdai,cdai,cDAI,80
casper-network,cspr,Casper Network,97
chainlink,link,Chainlink,25
chiliz,chz,Chiliz,56
compound-usd-coin,cusdc,cUSDC,62
compound-ether,ceth,cETH,82
cosmos,atom,Cosmos Hub,24
crypto-com-chain,cro,Cronos,31
dai,dai,Dai,15
curve-dao-token,crv,Curve DAO,88
decentraland,mana,Decentraland,58
dash,dash,Dash,65
dogecoin,doge,Dogecoin,8
ecash,xec,eCash,72
elrond-erd-2,egld,MultiversX (Elrond),46
eos,eos,EOS,40
ethereum,eth,Ethereum,2
ethereum-classic,etc,Ethereum Classic,27
ethereum-pow-iou,ethw,EthereumPoW,90
ethereum-name-service,ens,Ethereum Name Service,98
fantom,ftm,Fantom,61
filecoin,fil,Filecoin,36
flow,flow,Flow,51
frax,frax,Frax,39
frax-share,fxs,Frax Share,86
gemini-dollar,gusd,Gemini Dollar,60
gatechain-token,gt,Gate,74
gmx,gmx,GMX,91
hedera-hashgraph,hbar,Hedera,41
havven,snx,Synthetix Network,84
huobi-token,ht,Huobi,49
immutable-x,imx,ImmutableX,95
internet-computer,icp,Internet Computer,38
iota,miota,IOTA,68
klay-token,klay,Klaytn,69
kucoin-shares,kcs,KuCoin,55
leo-token,leo,LEO Token,21
lido-dao,ldo,Lido DAO,37
litecoin,ltc,Litecoin,14
maker,mkr,Maker,71
matic-network,matic,Polygon,10
mina-protocol,mina,Mina Protocol,88
monero,xmr,Monero,26
near,near,NEAR Protocol,34
neo,neo,NEO,73
nexo,nexo,NEXO,83
okb,okb,OKB,11
oec-token,okt,OKC,75
osmosis,osmo,Osmosis,85
paxos-standard,usdp,Pax Dollar,43
pancakeswap-token,cake,PancakeSwap,63
pax-gold,paxg,PAX Gold,66
polkadot,dot,Polkadot,13
quant-network,qnt,Quant,30
radix,xrd,Radix,92
ripple,xrp,XRP,6
rocket-pool,rpl,Rocket Pool,79
shiba-inu,shib,Shiba Inu,17
solana,sol,Solana,18
staked-ether,steth,Lido Staked Ether,12
stellar,xlm,Stellar,29
tether,usdt,Tether,3
terra-luna,lunc,Terra Luna Classic,42
the-open-network,ton,Toncoin,22
tezos,xtz,Tezos,53
the-sandbox,sand,The Sandbox,54
the-graph,grt,The Graph,76
tether-gold,xaut,Tether Gold,77
theta-token,theta,Theta Network,50
thorchain,rune,THORChain,81
tokenize-xchange,tkx,Tokenize Xchange,67
tron,trx,TRON,16
true-usd,tusd,TrueUSD,44
trust-wallet-token,twt,Trust Wallet,58
uniswap,uni,Uniswap,19
usd-coin,usdc,USD Coin,4
usdd,usdd,USDD,52
vechain,vet,VeChain,35
wrapped-bitcoin,wbtc,Wrapped Bitcoin,23
xdce-crowd-sale,xdc,XDC Network,94
zcash,zec,Zcash,64
zilliqa,zil,Zilliqa,100
